english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Smooth houndshark (Male),Mustelus mustelus,Hondhaai,Mustelus mustelus.jpg,Total length,1,No limit,Open all year,201 cm,181 cm,169 cm,189 cm,151 cm,25.41 kg,ORANGE,Map4.jpg,"Found on the continental shelves and uppermost slopes, from the intertidal region to at least 350m.  Sometimes in midwater but prefers to swim near the bottom.  Feeds mainly on crustaceans, but also cephalopods and bony fish.  Regularly caught by both shore and ski boat anglers.  Sexual maturity is reached at a length of 70-80cm.  Occurs from Durban to Namibia",Salt,From Mozambique to Port Elizabeth
Snapper kob,Otolithes ruber,Snapperkob,Otolithes ruber.jpg,Total length,East of Cape Agulhas: 1.  West of Cape Agulhas: 5,50 cm,Open all year,52 cm,52 cm,0 cm,52 cm,42 cm,Not listed,NOT LISTED,Map22.jpg,"Lower jaw projects slightly and has a prominent pair of fang-like teeth and a bluntly pointed tail fin.  Found in coastal waters but also enters rivers.  Relatively frequently caught by paddle ski fishermen off Durban.  Feeds on fish, prawns, squid and other invertebrates.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Namibia
Snoek,Thyrsites atun,Snoek,Thyrsites atun.jpg,Total length,10,60 cm,Open all year,90 cm,0 cm,0 cm,0 cm,0 cm,8.4 kg,GREEN,Map26.jpg,"""Snoek grows to up to 5kg, but mostly ranges between 2 and 3kg.  They inhabit continental shelves and offshore around islands.  Feed on pelagic crustaceans, cephalopods and fish species such as anchovy and pilchard.  Form schools near the bottom or midwater","sometimes even at the surface at night.  Prefers a water temperature between 13° and 18°C.  Snoek is an important commercial and recreational angling species in the western Cape, and are caught up to 100km offshore.  They are voracious predators with very sharp teeth and care should be taken when landing a snoek.  Occurs from Port Elizabeth to Namibia""",Salt,From Mozambique to Knysna
Snubnose pompano,Trachinotus blochii,Stompneus-pompano,Trachinotus blochii.jpg,Fork length,10,No limit,Open all year,41 cm,41 cm,0 cm,41 cm,33 cm,Not listed,RED,Map22.jpg,"Colour generally silvery and paler below.  Large adults mostly golden orange, especially ventrally.  Juveniles inhabit sandy shorelines and shallow sandy or muddy bays near river mouths while adults move out in schools to clear seaward reefs.  Juveniles are found in small schools, while adults are usually solitary.  Feeds primarily on sand molluscs and other hard-shelled invertebrates.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Knysna
Soupfin shark / Tope,Galeorhinus galeus,Sopvinhaai / Vaalhaai,Galeorhinus galeus.jpg,Pre-caudal length,1,No limit,Open all year,153 cm,149 cm,0 cm,122 cm,98 cm,89.8 kg,ORANGE,Map7.jpg,"Soupfin sharks can grow to more than 25kg, but are usually between 5 and 15kg.  It is a large houndshark with a long, pointed snout, a large mouth, and small blade-like teeth.  The 2nd dorsal is about as large as the anal fin and terminal caudal lobe as long as rest of fin.  Greyish above and white below.  Young with black markings on fins.  Occurs in small schools that are highly migratory.  Feeds on bottom and pelagic fish, crustaceans, cephalopods, worms, and echinoderms.  Soupfin sharks are mostly caught from boats, and occasionally from the shore.  The flesh makes for good eating.  Occurs from East London to Namibia",Salt,From Mozambique to Port Elizabeth
Southern mullet,Liza richardsonii,Suidelike harder,Liza richardsonii.jpg,Fork length,50,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map30.jpg,"Attains a maximum length of about 40cm.  Found in coastal waters, mainly off rocky points and sandy beaches.  May enter estuaries which serve as nursery areas.  Feed mainly on diatoms and detritus, but also on planktonic crustaceans.  Occurs from Port Edward to Namibia",Salt,From Mozambique to Transkei
Southern pompano,Trachinotus africanus,Suidelike pompano,Trachinotus africanus.jpg,Fork length,5,No limit,Open all year,98 cm,98 cm,71 cm,75 cm,60 cm,Not listed,RED,Map19.jpg,"Can reach weights in excess of 10kg, but usually less than 3kg.  Bluish above and silvery below.  Anal fin bright yellow with an orange fin lobe.  Caudal, pectoral and pelvic fins are yellowish.  Inhabits coastal areas with reefs or rocky outcrops.  Normally in pairs but may form schools.  Juveniles found in sheltered bays.  Abundant during the summer months in shallow water where they can be targeted using sea lice, prawns or even soft artificial lures.  Occurs from Mozambique to Knysna",Salt,From Mozambique to East London
Spadefish,Tripterodon orbis,Graafvis,Tripterodon orbis.jpg,Fork length,10,No limit,Open all year,59 cm,59 cm,0 cm,56 cm,45 cm,5 kg,NOT LISTED,Map22.jpg,Silvery brown with dark crossbands that disappear with growth.  Inhabits coastal waters around reefs.  Attains a maximum size of about 50cm.  Found from Kenya to Port Elizabeth.  Feeds on rock and coral-dwelling organisms.  Flesh is edible but not highly esteemed.  Occurs from Mozambique to Port Elizabeth,Salt,From Mozambique to Namibia
Spearnose skate,Raja alba,Spiesneus-rog,Raja alba.jpg,Disc width,1,No limit,Open all year,186 cm,148 cm,0 cm,179 cm,143 cm,73.8 kg,ORANGE,Map21.jpg,"""A giant skate with a broad-based, abruptly narrow-tipped snout covered with small, sharp thorns","pectoral disc angular, and no thorns on nape or back, but three rows of large thorns on the tail.  Inhabit shelf and slope waters.  Found on sand and rock bottoms.  A bottom predator of bony fish, other rays, fish offal, crabs, shrimps, octopus and cuttlefish.  Occurs from Mozambique to Namibia""",Salt,From Mozambique to Transkei
Speckled snapper,Lutjanus rivulatus,Gespikkelde snapper,Lutjanus rivulatus.jpg,Fork length,10,No limit,Open all year,73 cm,68 cm,63 cm,56 cm,45 cm,Not listed,NOT LISTED,Map16.jpg,"Occasionally encountered in coral reefs or shallow inshore flats.  Found singly or in small groups of up to 20 individuals.  Adults on deep coastal slopes while juveniles occur on shallow reef flats often near freshwater run-offs.  Feeds on fish, cephalopods and benthic crustaceans.  Occurs from Mozambique to Durban",Salt,From Mozambique to Namibia
Spineblotch scorpionfish,Sebastapistes mauritiana,Stekel-skerpioenvis,Sebastapistes mauritiana.jpg,Total length,10,No limit,Open all year,46 cm,0 cm,0 cm,0 cm,0 cm,3 kg,NOT LISTED,Map25.jpg,Inhabits outer intertidal reef flats and shallow lagoon reefs exposed to wave action.  Faint dark bars on the underside of the head and usually with a dark spot on the dorsal fin.  Spines are venomous.  Occurs from Mozambique to Transkei,Salt,From Mozambique to Port Elizabeth
Spinner shark (Female),Carcharhinus brevipinna,Spinnerhaai,Carcharhinus brevipinna.jpg,Pre-caudal length,1,No limit,Open all year,203 cm,133 cm,0 cm,82 cm,66 cm,122.5 kg,ORANGE,Map20.jpg,"A tropical shallow water species found on the continental shelve from close inshore to offshore.  Makes vertical spinning leaps out of the water as a feeding technique in which the sharks spins through a school of small fish with an open mouth and then breaks the surface.  Feeds mainly on smaller pelagic bony fish, also small sharks, cuttlefish, squids, and octopi.  Forms schools.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Namibia
Spinner shark (Male),Carcharhinus brevipinna,Spinnerhaai,Carcharhinus brevipinna.jpg,Pre-caudal length,1,No limit,Open all year,203 cm,133 cm,0 cm,82 cm,66 cm,122.5 kg,ORANGE,Map20.jpg,"A tropical shallow water species found on the continental and insular shelves from close inshore to offshore.  Makes vertical spinning leaps out of the water as a feeding technique in which the sharks spins through a school of small fish with an open mouth and then breaks the surface.  Feeds mainly on smaller pelagic bony fish, also small sharks, cuttlefish, squids, and octopi.  Forms schools.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Port Elizabeth
Spiny dogfish,Squalus megalops,Spikkel-penhaai,Squalus megalops.jpg,Total length,1,No limit,Open all year,72 cm,68 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map7.jpg,"A small dogfish with a short, angular snout and a mouth almost as wide as the snout is long.  The body is without spots and the 1st dorsal fin spine is situated over the pectoral fins.  The colour is bronze-grey above, white below and the dorsal fins have black tips and white edges but these markings are inconspicuous in adults.  Extremely common, forming vast schools.  Feeds on small bony fish, shrimp, crabs, mantis shrimp, octopus, squid and worms.  Can deliver a painful sting with the spine in front of the dorsal fin.  Occurs from East London to Namibia",Salt,From Mozambique to Port Edward
Spotted eagle ray,Aetobatus narinari,Gekolde arendrog,Aetobatus narinari.jpg,Disc width,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map22.jpg,"Commonly found in shallow inshore waters such as bays and coral reefs.  Swims close to the surface, occasionally leaping out of the water.  Frequently forms large schools during the non-breeding season.  Feeds mainly on bivalves but also eats shrimps, crabs, octopus, worms and small fish.  Can deliver a painful and venomous sting.  Occurs from Mozambique to Port Elizabeth",Salt,From Port Edward to False Bay
Spotted grunter,Pomadasys commersonnii,Gespikkelde knorder,Pomadasys commersonnii.jpg,Fork length,5,40 cm,Open all year,87 cm,83 cm,0 cm,79 cm,63 cm,5.5 kg,RED,Map33.jpg,"The maximum length of Spotted grunter are about 80cm, but most often those caught are smaller than 3kg.  They are found in coastal waters, estuaries, and rivers as they can tolerate freshwater.  Spotted grunter can be distinguished from the Cock grunter by the absence of spots on its head.  It can jet a stream of water into the mud to expose crustaceans, worms and small bivalves which it feeds on, including fish.  Spotted grunter is a popular angling fish wherever it occurs.  It is often targeted in rivers using prawns as bait.  It is a sensitive feeder, so drift baiting is often used.  The flesh makes for excellent eating.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Elizabeth
Spotted gullyshark,Triakis megalopterus,Gespikkelde sloephaai,Triakis megalopterus.jpg,Total length,1,No limit,Open all year,186 cm,182 cm,167 cm,182 cm,168 cm,28.2 kg,RED,Map30.jpg,"Spotted gully sharks grow to about 40kg, but most caught are between 10 and 20kg.  It has a blunt snout and a large mouth with small pointed teeth. The body is grey with numerous black spots which may be sparse or absent in some specimens.  Occurs off sandy beaches, rocky shores and in shallow bays.  Feeds on crabs, lobsters, bony fish and small sharks.  It is quite regularly caught by shore anglers.  They are usually targeted with fish baits, such as fillets or squid.  Can be targeted without a steel trace.  Found over both sandy and rocky bottoms and can be a strong fighter when hooked over rocks where it tend to use structure to its advantage.  Occurs from Port Edward to Namibia",Salt,From Mozambique to Transkei
Spotted ragged-tooth shark (Female),Carcharias taurus,Spikkel-skeurtandhaai,Carcharias taurus.jpg,Pre-caudal length,1,No limit,Open all year,256 cm,213 cm,219 cm,229 cm,224 cm,191 kg,RED,Map21.jpg,"Commonly referred to as “Raggies” this species can grow to more than 300kg.  It is a littoral shark found inshore from the surf zone and in shallow bays to at least 200m on the outer continental shelves.  Only shark known to gulp and store air in its stomach to maintain neutral buoyancy.  Feeds mostly on bony fish, but also on small sharks, rays, squids, crabs, and lobsters.  Although recorded from the west coast, it is more common east of Cape Town.  Known to enter estuaries and rivers.  Usually gives birth to 2 pups after a 9-12 months gestation period.  Not aggressive but have been known to bite divers.  A commonly targeted shark that readily takes large fish baits.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Elizabeth
Spotted ragged-tooth shark (Male),Carcharias taurus,Spikkel-skeurtandhaai,Carcharias taurus.jpg,Pre-caudal length,1,No limit,Open all year,256 cm,213 cm,219 cm,229 cm,224 cm,191 kg,RED,Map21.jpg,"Commonly referred to as “Raggies” this species can grow to more than 300kg.  It is a littoral shark found inshore from the surf zone and in shallow bays to at least 200m on the outer continental shelves.  Only shark known to gulp and store air in its stomach to maintain neutral buoyancy.  Feeds mostly on bony fish, but also on small sharks, rays, squids, crabs, and lobsters.  Although recorded from the west coast, it is more common east of Cape Town.  Known to enter estuaries and rivers.  Usually gives birth to 2 pups after a 9-12 months gestation period.  Not aggressive but have been known to bite divers.  A commonly targeted shark that readily takes large fish baits.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Namibia
Springer,Elops machnata,Springer,Elops machnata.jpg,Fork length,5,No limit,Open all year,147 cm,94 cm,0 cm,82 cm,66 cm,12.09 kg,RED,Map20.jpg,"While springer can exceed 10kg and a length of 130cm, typical catches are much smaller and usually in the 1 to 3kg range.  Occurs in coastal waters, but readily enters lagoons and estuaries.  Young and adults feed on small fish and crustaceans.  They are voracious carnivores that take fish, squid and shrimp bait.  Springer feed in shallow water along beaches and in estuaries.  They can be targeted using live bait but also with most artificial lures.  Once hooked, they put up a spectacular fight, often leaping out of the water.   Edible, but not tasty and full of bones.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Knysna
Squaretail kob,Argyrosomus thorpei,Stompstert-kabeljou,Argyrosomus thorpei.jpg,Total length,East of Cape Agulhas: 1.  West of Cape Agulhas: 5,50 cm,Open all year,85 cm,85 cm,0 cm,62 cm,50 cm,17 kg,NOT LISTED,Map22.jpg,"Silvery with a row of white spots on the side.  Distinguished from other kob species by the presence of scales behind the pectoral fin.  Found in coastal waters.  Juveniles are found on sand or mud substrate and the adults predominantly on reefs.  Spawns in the winter.  Reaches maturity at a length of 35cm and feeds primarily on small, bottom-dwelling fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Port Edward to Namibia
Star blaasop,Arothron stellatus,Ster blaasop,Arothron stellatus.jpg,Total length,No limit,No limit,Open all year,60 cm,55 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Relatively uncommon in patch reefs and coral slopes near sandy areas of clear lagoon and seaward reefs.  Juveniles occur in sandy and weedy inner reefs, adults on clear lagoons and seaward reefs.  Adults occur on deep slopes and range to outer reefs, sometimes swimming high above the substrate or just below the surface.  Considered as the giant among puffers reaching a total length well in excess of 100cm.  This species is poisonous to eat.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Steentjie,Spondyliosoma emarginatum,Steentjie,Spondyliosoma emarginatum.jpg,Fork length,10,No limit,Open all year,28 cm,28 cm,0 cm,0 cm,0 cm,Not listed,GREEN,Map31.jpg,"Steentjie is a small species rarely attaining more than 30cm.  They aggregate in large shoals over rocky substrates.  Plentiful along the south and southeast Cape coast.  Enters estuaries where it lives among the weeds.  Excellent bait for other predatory species, but normally too small as food fish.  Often the culprit species nibbling away at anglers’ baited hooks.  Feeds on algae and small crustaceans.  Occurs from Port Edward to Saldanha Bay",Salt,From Mozambique to Port Elizabeth
Stone bream,Neoscorpis lithophilus,Stinkvis,Neoscorpis lithophilus.jpg,Fork length,5,No limit,Open all year,48 cm,45 cm,39 cm,45 cm,45 cm,Not listed,RED,Map15.jpg,Identified by its kite shape and silvery-grey colour.  Maximum length is about 50cm and sexual maturity is reached at about 35cm.  Inhabits turbulent coastal waters with a rocky substrate.  Feeds on algae and associated invertebrates.  Good eating despite the unpleasant odour from the intestines.  Occurs from Mozambique to Cape Agulhas,Salt,From Mozambique to Port Edward
Streakyspot rockcod,Epinephelus longispinis,Strepiekol-klipkabeljou,Epinephelus longispinis.jpg,Total length,5 and maximum of 5 species per day.,No limit,Open all year,38 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Head and body pale brown with dark reddish-brown spots that are round and well separated on the head and front part of the body.  Attains a maximum length of about 60cm.  Inhabits coral reefs or rocky areas and occasionally over sandy bottoms.  Feeds mainly on crustaceans, especially crabs and mantis shrimps and rarely on small fish, squids, and bivalve molluscs.  Occurs from Mozambique to Transkei",Salt,From East London to False Bay
Striped bonito,Sarda orientalis,Gestreepte bonito,Sarda orientalis.jpg,Fork length,10,No limit,Open all year,63 cm,0 cm,0 cm,0 cm,0 cm,9.7 kg,NOT LISTED,Map34.jpg,"A coastal species often found schooling with small tunas.  Also found around some islands.  Widespread in the Indo-Pacific, but distribution is not continuous.  Attains a maximum length of about 100cm and 10kg.  Feeds on other fish, squids and  crustaceans.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Knysna
Striped catshark,Poroderma africanum,Streep-kathaai,Poroderma africanum.jpg,Total length,1,No limit,Open all year,109 cm,100 cm,0 cm,104 cm,80 cm,5.22 kg,ORANGE,Map5.jpg,"An endemic species, occurring only along the South African coast.  Occurs over the continental shelf.  Prefers rocky reefs from the intertidal zone down to 100m.  Nocturnal and often found in caves and crevices during the day.  Feeds mainly on crustaceans, but also bony fish and cephalopods.  Occurs from Durban to Saldanha Bay",Salt,From Port Elizabeth to Namibia
Striped grunter,Pomadasys striatus,Gestreepte knorder,Pomadasys striatus.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,Overall silvery with 3 dark brown stripes along the flanks.  A common species found over sandy bottoms between scattered reefs.  Often found in shoals.  Feeds primarily on small shrimps and other crustaceans.  Maximum length about 25cm.  Endemic to Mozambique and South Africa.  Occurs from Mozambique to Port Edward,Salt,From Mozambique to False Bay
Striped marlin,Tetrapturus audax,Gestreepte marlyn,Tetrapturus audax.jpg,Lower bill fork length,5,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,116.35 kg,ORANGE,Map33.jpg,"Striped marlin are the smallest of the marlin found in South African waters and are usually less than 100kg in size.  They are found offshore, usually above the thermocline.  Generally inhabit cooler water than either the black or blue marlin.  It is the most widely distributed of all billfish species.  Seen close to shore only where deep drop-offs occur.  Mostly solitary but form small schools by size during the spawning season.  Feed on fish, crustaceans and squids.  They are targeted same as for other marlin species, but usually with smaller lures.  While the flesh is edible, it is not highly regarded.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Cape Point
Striped mullet,Liza tricuspidens,Gestreepte harder,Liza tricuspidens.jpg,Fork length,50,No limit,Open all year,53 cm,47 cm,0 cm,48 cm,38 cm,3.1 kg,NOT LISTED,Map21.jpg,"General body colour is silvery and darker above, with dusky lines along the sides and a yellow blotch on each of the gill plates.  Distinguished from other mullet species by its tricuspid teeth.  Also distinguished by the length of the pectoral fins which reaches beyond the eyes when bent forward.  Maximum length of about 75cm.  Occur mainly in estuaries where it congregates over mud-banks feeding on microscopic algae.  Flesh is excellent.  Occurs from Mozambique to Namibia",Salt,From Mozambique to False Bay
Striped threadfin,Polydactylus plebeius,Gestreepte draadvin,Polydactylus plebeius.jpg,Fork length,10,No limit,Open all year,42 cm,40 cm,0 cm,30 cm,24 cm,Not listed,NOT LISTED,Map22.jpg,"Occur over muddy bottoms of the continental shelf from estuaries to coastal beaches and to relatively deep waters, but shallower than 120m.  Forms loosely-associated schools feeding on small crustaceans, fish and other benthic organisms.  Smaller fish sometimes caught in large numbers.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Namibia
Surge wrasse,Thalassoma purpureum,Branders-lipvis,Thalassoma purpureum.jpg,Fork length,10,No limit,Open all year,37 cm,35 cm,0 cm,34 cm,27 cm,Not listed,NOT LISTED,Map22.jpg,"Found almost exclusively in the surge zone of outer reef flats, reef margins, and rocky coastlines down to a depth of about 10m.  Occur in groups of females that are spread out over large reef sections and dominated by a few males.  Males grow much larger than females.  Feed on small invertebrates, crabs, sea urchins, brittlestars, molluscs and small fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Mossel Bay
Talang queenfish,Scomberoides commersonnianus,Talang-koninginvis,Scomberoides commersonnianus.jpg,Fork length,10,No limit,Open all year,107 cm,92 cm,0 cm,84 cm,67 cm,11.8 kg,NOT LISTED,Map22.jpg,"Also referred to as Queenfish, Leatherskin or Largemount queenfish, the Talang queenfish can grow to more than 10kg.  Adults have 5 to 8 large blotches on the sides.  Inhabits coastal waters, frequently near reefs and offshore islands.  Occasionally found in estuaries.  Usually occurs in small groups and feeds on fish, cephalopods, and other pelagic prey.  Usually taken from boats, but occasionally from the shore as well.  They are often targeted with spinners, poppers or plugs but also with live bait.  Although edible, the flesh is not regarded as good eating.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Port Edward
Thintail thresher,Alopias vulpinus,Fynstert-sambokhaai,Alopias vulpinus.jpg,Pre-caudal length,1,No limit,Open all year,145 cm,137 cm,0 cm,117 cm,94 cm,Not listed,ORANGE,Map33.jpg,"A cosmopolitan species in temperate and tropical seas.  Also occurs in coastal waters over the continental shelve and offshore far from land.  Young often close inshore and in shallow bays.  Feeds on schooling fish, squid, octopi and pelagic crustaceans.  Uses its long tail fin to bunch up and stun prey.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Namibia
Thornback skate,Raja clavata,Doringrug-rog,Raja clavata.jpg,Disc width,1,No limit,Open all year,60 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map4.jpg,"This species is highly variable in terms of colouring.  Inhabits shelf and upper slope waters.  Found on mud, sand and gravel bottoms, but rarely on rougher bottoms.  It is a nocturnal species that feeds on all kinds of bottom animals but mainly crustaceans.  Occurs from Durban to Namibia",Salt,From Mozambique to Namibia
Thornfish,Terapon jarbua,Doringvis,Terapon jarbua.jpg,Fork length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Found over shallow sandy bottoms in the vicinity of river mouths.  Enter estuaries and rivers.  Adults found in loose aggregations.  Juveniles common in sandy intertidal areas and often in tidal pools.  Feed on fish, insects, algae, and sand-dwelling invertebrates.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Thorntail stingray,Dasyatis thetidis,Doringstert-pylstert,Dasyatis thetidis.jpg,Disc width,1,No limit,Open all year,177 cm,102 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map22.jpg,"A huge plain dark stingray with a broadly angular snout and pectoral disk, thick-based tail tapering to a slender whip much longer than the body length.  It has no upper caudal finfold but a long lower caudal finfold that ends far in front of tail tip.  Upper disk and tail roughened by large flat thorns.  One or 2 stings on tail.  Common inshore and also found in estuaries, lagoons, and around reefs.  Found on soft bottoms.  Feeds on crabs, mantis shrimps, bivalves and conger eels.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to East London
Threadfin mirrorfish,Alectis ciliaris,Draadvin-spieelvis,Alectis ciliaris.jpg,Fork length,10,No limit,Open all year,68 cm,0 cm,0 cm,0 cm,0 cm,9.2 kg,NOT LISTED,Map22.jpg,"Distributed worldwide in tropical seas.  A pelagic species, with juveniles sometimes found near the shore.  Juveniles have long trailing filaments on the fins.  Feed on slow moving crustaceans and occasionally feed on small crabs and fish.  Juveniles are attractive aquarium fish, but do not do well in captivity.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Port Elizabeth
Tiger catshark,Halaelurus natalensis,Tier-kathaai,Halaelurus natalensis.jpg,Total length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map27.jpg,"A catshark with a prominent upturned knob on the snout, a broad head, and with no spots on the body.  Yellow-brown in colour, with pairs of broad, vertical, dark brown stripes outlining dusky saddles and cream below.  Found on the continental shelf, from close inshore to deeper water.  Feeds mainly on small bony fish and crustaceans, also cephalopods and small sharks and rays.  Often confused with the Banded catshark.  Occurs from Port Elizabeth to Saldanha Bay",Salt,From Mozambique to Namibia
Tiger fish,Hydrocynus vittatus,Tiervis,Hydrocynus vittatus.jpg,Fork length,No limit,No limit,Open all year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Durban
Tiger shark (Female),Galeocerdo cuvier,Tierhaai,Galeocerdo cuvier.jpg,Pre-caudal length,1,No limit,Open all year,246 cm,116 cm,0 cm,197 cm,0 cm,355.6 kg,ORANGE,Map22.jpg,"Usually occurs from near the surface to depths of 140m.  Occurs on or adjacent to continental and insular shelves, frequenting river estuaries, off wharves and jetties in harbours, and in coral atolls and lagoons.  It is a nocturnal feeder on other sharks, rays, bony fish, marine mammals, tortoises, seabirds, sea snakes, squids, gastropods, crustaceans and detritus.  It also feeds on carrion and garbage.  Second only to the great white shark in recorded attacks on humans.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Mossel Bay
Tiger shark (Male),Galeocerdo cuvier,Tierhaai,Galeocerdo cuvier.jpg,Pre-caudal length,1,No limit,Open all year,246 cm,116 cm,0 cm,197 cm,0 cm,355.6 kg,ORANGE,Map22.jpg,"Usually occurs from near the surface to depths of 140m.  Occurs on or adjacent to continental and insular shelves, frequenting river estuaries, off wharves and jetties in harbours, and in coral atolls and lagoons.  It is a nocturnal feeder on other sharks, rays, bony fish, marine mammals, tortoises, seabirds, sea snakes, squids, gastropods, crustaceans and detritus.  It also feeds on carrion and garbage.  Second only to the great white shark in recorded attacks on humans.  Occurs from Mozambique to Namibia",Salt,From Mozambique to False Bay
Tille kingfish,Caranx tille,Tille-koningvis,Caranx tille.jpg,Fork length,5,No limit,Open all year,48 cm,0 cm,0 cm,0 cm,0 cm,4.4 kg,RED,Map16.jpg,Adults are dark olive green to bluish grey above with a black spot on the gill plate.  Breast is fully scaled.  A coastal species preferring inshore waters near coral reefs and rocks.  Feeds on fish and crustaceans.  Occurs from Mozambique to Durban,Salt,From Mozambique to False Bay
Torpedo scad,Megalaspis cordyla,Torpedo-skad,Megalaspis cordyla.jpg,Fork length,No limit,No limit,Open all year,42 cm,40 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map17.jpg,"Dorsal surface is green with sides and underside silvery, with a distinct black spot on both gill plates.  Maximum length about 80cm.  A schooling species that primarily lives near the surface of coastal waters.  Feeds on planktonic organisms and juvenile fish and readily takes small lures.  Occurs from Mozambique to East London",Salt,From Mozambique to False Bay
Tripletail,Lobotes surinamensis,Driestert,Lobotes surinamensis.jpg,Total length,10,No limit,Open all year,90 cm,90 cm,0 cm,68 cm,54 cm,5.5 kg,NOT LISTED,Map22.jpg,"Adult inhabits bays, muddy estuaries and lower reaches of large rivers.  A sluggish offshore fish that often floats on its side near the surface in the company of floating objects.  Occasionally drifts over reefs.  Feeds on benthic crustaceans and small fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Port Elizabeth
Twobar bream,Acanthopagrus bifasciatus,Tweebalk-seebras,Acanthopagrus bifasciatus.jpg,Fork length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,15.5 kg,NOT LISTED,Map16.jpg,"Maximum length about 50cm.  Inhabits shallow coastal waters, mainly around reefs.  Found in the western Indian Ocean from the Red Sea and Persian Gulf to Natal.  A rare species in Southern African waters.  Also enters estuaries and bays and occurs in small groups.  Occurs from Mozambique to Durban",Salt,From Mozambique to Knysna
Twotone fingerfin,Chirodactylus brachydactylus,Steenklipvis,Chirodactylus brachydactylus.jpg,Fork length,10,No limit,Open all year,36 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map21.jpg,"Found in coastal waters from the shoreline to about 240m.  Usually associated with reef areas and rocky bottoms.  Feeds on invertebrates.  It is one of the most common fish off our coast, but seldom takes a hook.  Occurs from Mozambique to Namibia",Salt,From Mozambique to East London
Vundu,Heterobranchus longifilis,Vundu,Heterobranchus longifilis.jpg,Total length,No limit,No limit,Open all year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Port Edward
Wahoo,Acanthocybium solandri,Wahoo,Acanthocybium solandri.jpg,Fork length,No limit,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,4.1 kg,NOT LISTED,Map33.jpg,"The wahoo is an oceanic species.  It is frequently solitary or forming small loose aggregations rather than compact schools.  Rare south of Kwa-Zulu Natal, although it has been recorded as far south as Cape Point.  Feed mostly on fish, but also on squid.  It is a prized gamefish.  After death the vertical stripes along the sides tend to fade.  Grows to as large as 65kg, but in South African waters only to about 30kg.  It is one of the fastest fish and while it mostly hunts alone, it has been known to also hunt in shoals.  Mostly targeted with artificial lures trolled quite fast.  A wire trace is essential when targeting this species.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Cape Point",Salt,From Mozambique to Durban
